DATE,CODE,CODENM,價位,賣數量,成本,剩餘數量,手續費,交易稅,損益
2019-01-14,3044,健鼎,81.2,1000.0,80.9,0.0,116.0,244.0,-60.0
2019-01-17,2390,云辰,11.95,1000.0,12.3,0.0,17.0,36.0,-403.0
2019-01-17,3017,奇鋐,25.7,1000.0,26.1,0.0,37.0,77.0,-514.0
2019-01-22,2312,金寶,10.2,1000.0,10.35,0.0,15.0,31.0,-196.0
2019-01-23,2481,強茂,28.0,1000.0,29.0,0.0,40.0,84.0,-1124.0
2019-02-11,6191,精成科,13.2,1000.0,13.2,0.0,19.0,40.0,-59.0
2019-02-12,2801,彰銀,17.9,1000.0,18.0,0.0,26.0,54.0,-180.0
2019-02-14,5871,中租-KY,113.0,1000.0,98.3,0.0,161.0,339.0,14200.0
2019-02-14,2534,宏盛,28.1,1000.0,26.1,0.0,40.0,84.0,1876.0
2019-02-18,1710,東聯,26.2,1000.0,26.0,0.0,37.0,79.0,84.0
2019-02-18,1609,大亞,11.05,1000.0,11.3,0.0,16.0,33.0,-299.0
2019-02-19,4960,誠美材,11.2,1000.0,11.0,0.0,16.0,34.0,150.0
2019-02-25,2360,致茂,130.0,1000.0,132.0,0.0,185.0,390.0,-2575.0
2019-03-06,2344,華邦電,14.95,1000.0,15.4,0.0,21.0,45.0,-516.0
2019-03-07,2345,智邦,104.5,1000.0,107.0,0.0,149.0,314.0,-2963.0
2019-03-08,6153,嘉聯益,29.3,1000.0,29.5,0.0,42.0,88.0,-330.0
2019-03-11,3698,隆達,18.2,1000.0,18.6,1000.0,26.0,55.0,-481.0
2019-03-12,3698,隆達,18.25,1000.0,18.6,0.0,26.0,55.0,-431.0
2019-03-13,2367,燿華,20.7,1000.0,16.2,0.0,29.0,62.0,4409.0
2019-03-21,1504,東元,20.05,1000.0,20.1,0.0,29.0,60.0,-139.0
2019-03-21,4960,誠美材,12.9,1000.0,13.416666666666666,2000.0,18.0,39.0,-574.0
2019-03-21,1314,中石化,11.2,1000.0,11.35,0.0,16.0,34.0,-200.0
2019-03-22,4960,誠美材,13.2,1000.0,13.416666666666666,1000.0,19.0,40.0,-276.0
2019-03-25,4960,誠美材,11.5,1000.0,13.416666666666666,0.0,16.0,34.0,-1967.0
2019-03-25,2013,中鋼構,26.55,1000.0,28.15,0.0,38.0,80.0,-1718.0
2019-03-26,1218,泰山,18.2,1000.0,18.2,0.0,26.0,55.0,-81.0
2019-03-26,1718,中纖,10.0,1000.0,10.2,0.0,14.0,30.0,-244.0
2019-03-28,1904,正隆,20.45,1000.0,20.675,1000.0,29.0,61.0,-315.0
2019-03-29,6451,訊芯-KY,113.0,1000.0,97.0,0.0,161.0,339.0,15500.0
2019-03-29,1904,正隆,20.25,1000.0,20.675,0.0,29.0,61.0,-515.0
2019-04-02,8163,達方,50.0,1000.0,51.3,0.0,71.0,150.0,-1521.0
2019-04-08,3481,群創,10.15,1000.0,10.15,0.0,14.0,30.0,-44.0
2019-04-17,2201,裕隆,19.35,1000.0,19.9,0.0,28.0,58.0,-636.0
2019-04-19,2313,華通,27.4,1000.0,26.0,0.0,39.0,82.0,1279.0
2019-04-24,2328,廣宇,26.9,1000.0,26.625,1000.0,38.0,81.0,156.0
2019-04-25,4927,泰鼎-KY,49.0,1000.0,42.3,0.0,70.0,147.0,6483.0
2019-04-25,2328,廣宇,26.5,1000.0,26.625,0.0,38.0,80.0,-243.0
2019-04-25,6120,達運,20.8,1000.0,21.3,0.0,30.0,62.0,-592.0
2019-04-26,2382,廣達,59.6,1000.0,58.5,0.0,85.0,179.0,836.0
2019-04-29,2344,華邦電,16.4,1000.0,14.5,0.0,23.0,49.0,1828.0
2019-04-29,6176,瑞儀,103.5,1000.0,106.0,0.0,147.0,310.0,-2957.0
2019-05-03,1909,榮成,17.75,1000.0,18.25,0.0,25.0,53.0,-578.0
2019-05-07,5880,合庫金,20.2,1000.0,20.05,0.0,29.0,61.0,60.0
2019-05-07,1402,遠東新,32.75,1000.0,33.65,0.0,47.0,98.0,-1045.0
2019-05-07,2881,富邦金,45.5,1000.0,45.6,0.0,65.0,136.0,-301.0
2019-05-07,2801,彰銀,18.15,1000.0,18.5,0.0,26.0,54.0,-430.0
2019-05-07,2485,兆赫,23.35,1000.0,23.45,0.0,33.0,70.0,-203.0
2019-05-08,2890,永豐金,11.75,1000.0,12.0,0.0,17.0,35.0,-302.0
2019-05-10,1609,大亞,10.9,1000.0,11.2,0.0,16.0,33.0,-349.0
2019-05-13,2886,兆豐金,29.6,1000.0,28.65,0.0,42.0,89.0,819.0
2019-05-13,3376,新日興,116.5,1000.0,124.0,0.0,166.0,350.0,-8016.0
2019-05-14,2449,京元電子,27.8,1000.0,29.0,0.0,40.0,83.0,-1323.0
2019-05-21,4943,康控-KY,127.0,1000.0,136.0,0.0,181.0,381.0,-9562.0
2019-05-28,9938,百和,75.5,1000.0,77.8,0.0,108.0,226.0,-2634.0
2019-05-28,2390,云辰,12.15,1000.0,12.625,1000.0,17.0,36.0,-528.0
2019-05-30,2390,云辰,12.15,1000.0,12.625,0.0,17.0,36.0,-528.0
2019-05-30,2105,正新,39.7,1000.0,39.85,0.0,57.0,119.0,-326.0
2019-06-05,1722,台肥,49.55,1000.0,45.6,0.0,71.0,149.0,3730.0
2019-06-10,6153,嘉聯益,28.9,1000.0,29.0,0.0,41.0,87.0,-228.0
2019-06-13,2880,華南金,20.2,1000.0,20.45,0.0,29.0,61.0,-340.0
2019-06-13,3038,全台,14.65,1000.0,15.5,0.0,21.0,44.0,-915.0
2019-06-18,2448,晶電,23.5,1000.0,24.05,0.0,33.0,70.0,-653.0
2019-06-26,2481,強茂,25.2,1000.0,25.95,0.0,36.0,76.0,-862.0
2019-07-01,6191,精成科,14.8,1000.0,14.1,0.0,21.0,44.0,635.0
2019-07-04,1305,華夏,23.55,1000.0,22.05,1000.0,34.0,71.0,1395.0
2019-07-05,1305,華夏,23.6,1000.0,22.05,0.0,34.0,71.0,1445.0
2019-07-08,2399,映泰,12.5,1000.0,12.225,1000.0,18.0,38.0,219.0
2019-07-09,2399,映泰,12.6,1000.0,12.225,0.0,18.0,38.0,319.0
2019-07-09,3698,隆達,15.05,1000.0,15.3,0.0,21.0,45.0,-316.0
2019-07-11,2485,兆赫,21.55,1000.0,21.55,0.0,31.0,65.0,-96.0
2019-07-12,3645,達邁,51.9,1000.0,47.35,0.0,74.0,156.0,4320.0
2019-07-16,2481,強茂,26.65,1000.0,27.5,1000.0,38.0,80.0,-968.0
2019-07-16,2392,正崴,35.35,1000.0,36.75,0.0,50.0,106.0,-1556.0
2019-07-17,2481,強茂,26.9,1000.0,27.5,0.0,38.0,81.0,-719.0
2019-07-19,1909,榮成,15.4,1000.0,15.95,0.0,22.0,46.0,-618.0
2019-07-23,3231,緯創,24.0,1000.0,25.05,0.0,34.0,72.0,-1156.0
2019-07-23,1609,大亞,11.2,1000.0,11.4,0.0,16.0,34.0,-250.0
2019-07-25,2367,燿華,23.75,1000.0,19.5,0.0,34.0,71.0,4145.0
2019-07-25,2313,華通,26.4,1000.0,28.4,0.0,38.0,79.0,-2117.0
2019-07-25,2603,長榮,13.75,1000.0,14.2,0.0,20.0,41.0,-511.0
2019-07-26,2002,中鋼,24.15,1000.0,24.0,0.0,34.0,72.0,44.0
2019-07-29,3041,揚智,11.65,1000.0,11.3,0.0,17.0,35.0,298.0
2019-07-30,2405,浩鑫,12.9,1000.0,13.3,0.0,18.0,39.0,-457.0
2019-07-30,1722,台肥,48.1,1000.0,48.7,0.0,69.0,144.0,-813.0
2019-07-31,2485,兆赫,22.45,1000.0,23.25,0.0,32.0,67.0,-899.0
2019-08-01,6191,精成科,16.9,1000.0,17.8,1000.0,24.0,51.0,-975.0
2019-08-02,2880,華南金,21.3,1000.0,21.2,0.0,30.0,64.0,6.0
2019-08-02,6191,精成科,16.5,1000.0,17.8,0.0,24.0,50.0,-1374.0
2019-08-05,2344,華邦電,18.65,1000.0,16.025,1000.0,27.0,56.0,2542.0
2019-08-05,3704,合勤控,24.2,1000.0,23.6,0.0,34.0,73.0,493.0
2019-08-05,2603,長榮,13.3,1000.0,14.3,0.0,19.0,40.0,-1059.0
2019-08-06,2344,華邦電,17.4,1000.0,16.025,0.0,25.0,52.0,1298.0
2019-08-06,2903,遠百,20.75,1000.0,22.4,1000.0,30.0,62.0,-1742.0
2019-08-07,2903,遠百,22.15,1000.0,22.4,0.0,32.0,66.0,-348.0
2019-08-12,3005,神基,45.95,1000.0,46.0,0.0,65.0,138.0,-253.0
2019-08-19,2421,建準,39.45,1000.0,40.3,0.0,56.0,118.0,-1024.0
2019-08-20,1736,喬山,89.8,1000.0,85.1,0.0,128.0,269.0,4303.0
2019-08-21,4906,正文,28.35,1000.0,28.25,0.0,40.0,85.0,-25.0
2019-08-22,2312,金寶,10.4,1000.0,10.6,0.0,15.0,31.0,-246.0
2019-08-27,8105,凌巨,15.1,1000.0,13.4,0.0,22.0,45.0,1633.0
2019-08-27,2392,正崴,33.75,1000.0,35.05,0.0,48.0,101.0,-1449.0
2019-08-27,3047,訊舟,10.3,1000.0,10.45,0.0,15.0,31.0,-196.0
2019-09-02,8215,明基材,21.95,1000.0,22.6,0.0,31.0,66.0,-747.0
2019-09-03,2376,技嘉,51.6,1000.0,52.35,1000.0,74.0,155.0,-979.0
2019-09-04,2376,技嘉,51.8,1000.0,52.35,0.0,74.0,155.0,-779.0
2019-09-09,2461,光群雷,24.25,1000.0,24.4,0.0,35.0,73.0,-258.0
2019-09-10,6191,精成科,17.2,1000.0,17.9,0.0,25.0,52.0,-777.0
2019-09-11,2328,廣宇,24.2,1000.0,25.2,0.0,34.0,73.0,-1107.0
2019-09-12,1102,亞泥,44.0,1000.0,44.025,1000.0,63.0,132.0,-220.0
2019-09-16,1102,亞泥,44.0,1000.0,44.025,0.0,63.0,132.0,-220.0
2019-09-19,2368,金像電,14.95,1000.0,14.6,0.0,21.0,45.0,284.0
2019-09-19,1504,東元,25.0,1000.0,24.95,0.0,36.0,75.0,-61.0
2019-09-20,1605,華新,14.6,1000.0,14.325,1000.0,21.0,44.0,210.0
2019-09-25,1605,華新,14.85,1000.0,14.325,0.0,21.0,45.0,459.0
2019-09-26,3419,譁裕,18.45,1000.0,17.5,0.0,26.0,55.0,869.0
2019-09-26,2884,玉山金,26.55,1000.0,26.6,0.0,38.0,80.0,-168.0
2019-09-26,5264,鎧勝-KY,55.4,1000.0,55.1,0.0,79.0,166.0,55.0
2019-09-27,2421,建準,39.3,1000.0,40.6,0.0,56.0,118.0,-1474.0
2019-09-30,2353,宏,17.55,1000.0,18.5,0.0,25.0,53.0,-1028.0
2019-09-30,3062,建漢,15.65,1000.0,19.05,0.0,22.0,47.0,-3469.0
2019-10-01,3041,揚智,13.75,1000.0,12.9,0.0,20.0,41.0,789.0
2019-10-01,2105,正新,46.15,1000.0,44.4,0.0,66.0,138.0,1546.0
2019-10-08,2439,美律,155.0,1000.0,158.5,0.0,221.0,465.0,-4186.0
2019-10-10,8105,凌巨,19.6,1000.0,14.3,0.0,28.0,59.0,5213.0
2019-10-14,1722,台肥,50.0,1000.0,48.8,0.0,71.0,150.0,979.0
2019-10-14,2903,遠百,25.5,1000.0,25.35,0.0,36.0,76.0,38.0
2019-10-15,3041,揚智,13.55,1000.0,14.35,0.0,19.0,41.0,-860.0
2019-10-15,2485,兆赫,23.4,1000.0,24.3,0.0,33.0,70.0,-1003.0
2019-10-15,1314,中石化,10.15,1000.0,10.15,0.0,14.0,30.0,-44.0
2019-10-15,1909,榮成,13.7,1000.0,13.65,0.0,20.0,41.0,-11.0
2019-10-15,2405,浩鑫,12.65,1000.0,13.1,0.0,18.0,38.0,-506.0
2019-10-16,2534,宏盛,20.7,1000.0,20.4,0.0,29.0,62.0,209.0
2019-10-17,2367,燿華,35.05,1000.0,37.0,0.0,50.0,105.0,-2105.0
2019-10-28,2392,正崴,44.1,1000.0,38.9,0.0,63.0,132.0,5005.0
2019-10-28,2520,冠德,29.7,1000.0,29.4,0.0,42.0,89.0,169.0
2019-10-29,1102,亞泥,43.6,1000.0,43.05,0.0,62.0,131.0,357.0
2019-10-29,2344,華邦電,17.45,1000.0,17.8,0.0,25.0,52.0,-427.0
2019-10-31,3038,全台,17.65,1000.0,17.3,0.0,25.0,53.0,272.0
2019-10-31,2353,宏,17.9,1000.0,18.15,0.0,26.0,54.0,-330.0
2019-11-04,2903,遠百,25.8,1000.0,24.95,0.0,37.0,77.0,736.0
2019-11-04,2399,映泰,11.2,1000.0,11.4,0.0,16.0,34.0,-250.0
2019-11-06,6251,定穎,15.0,1000.0,14.9,0.0,21.0,45.0,34.0
2019-11-07,1504,東元,26.65,1000.0,26.875,1000.0,38.0,80.0,-343.0
2019-11-08,3673,TPK-KY,62.5,1000.0,68.0,0.0,89.0,188.0,-5777.0
2019-11-11,2405,浩鑫,12.2,1000.0,12.7,0.0,17.0,37.0,-554.0
2019-11-12,1402,遠東新,30.1,1000.0,30.75,0.0,43.0,90.0,-783.0
2019-11-14,2356,英業達,22.3,1000.0,22.9,0.0,32.0,67.0,-699.0
2019-11-15,1504,東元,27.1,1000.0,26.875,0.0,39.0,81.0,105.0
2019-11-25,3706,神達,28.85,1000.0,28.375,1000.0,41.0,87.0,347.0
2019-11-25,1210,大成,39.6,1000.0,39.3,1000.0,56.0,119.0,125.0
2019-11-26,3706,神達,28.55,1000.0,28.375,0.0,41.0,86.0,48.0
2019-11-26,1210,大成,39.6,1000.0,39.3,0.0,56.0,119.0,125.0
2019-11-26,3038,全台,18.7,1000.0,19.5,0.0,27.0,56.0,-883.0
2019-11-29,8112,至上,30.0,1000.0,29.9,0.0,43.0,90.0,-33.0
2019-11-29,2368,金像電,15.55,1000.0,16.45,0.0,22.0,47.0,-969.0
2019-11-29,2889,國票金,10.95,1000.0,11.0,0.0,16.0,33.0,-99.0
2019-12-02,2421,建準,42.75,1000.0,44.3,0.0,61.0,128.0,-1739.0
2019-12-02,6141,柏承,21.85,1000.0,22.15,1000.0,31.0,66.0,-397.0
2019-12-03,2312,金寶,11.7,1000.0,12.05,1000.0,17.0,35.0,-402.0
2019-12-03,6141,柏承,21.2,1000.0,22.15,0.0,30.0,64.0,-1044.0
2019-12-04,2201,裕隆,18.9,1000.0,19.15,0.0,27.0,57.0,-334.0
2019-12-05,2312,金寶,11.85,1000.0,12.05,0.0,17.0,36.0,-253.0
2019-12-10,3698,隆達,18.4,1000.0,18.0,0.0,26.0,55.0,319.0
2019-12-12,2520,冠德,32.0,1000.0,32.0,0.0,46.0,96.0,-142.0
2019-12-16,2353,宏,17.9,1000.0,18.0,0.0,26.0,54.0,-180.0
2019-12-18,8039,台虹,46.25,1000.0,45.1,0.0,66.0,139.0,945.0
2019-12-23,3042,晶技,46.7,1000.0,41.55,0.0,67.0,140.0,4943.0
2019-12-25,2344,華邦電,19.5,1000.0,19.05,1000.0,28.0,58.0,364.0
2019-12-25,1909,榮成,14.2,1000.0,14.1,1000.0,20.0,43.0,37.0
2019-12-26,2312,金寶,13.0,1000.0,12.4,0.0,19.0,39.0,542.0
2019-12-26,1909,榮成,14.45,1000.0,14.1,0.0,21.0,43.0,286.0
2019-12-27,2344,華邦電,19.55,1000.0,19.05,0.0,28.0,59.0,413.0
2019-12-30,2201,裕隆,19.4,1000.0,19.8,0.0,28.0,58.0,-486.0
2019-12-31,3017,奇鋐,41.2,1000.0,42.15,0.0,59.0,124.0,-1133.0
2020-01-02,3698,隆達,18.35,1000.0,18.8,0.0,26.0,55.0,-531.0
2020-01-03,2504,國產,14.0,1000.0,14.55,0.0,20.0,42.0,-612.0
2020-01-03,6005,群益證,10.8,1000.0,10.9,0.0,15.0,32.0,-147.0
2020-01-07,2002,中鋼,23.8,1000.0,23.8,0.0,34.0,71.0,-105.0
2020-01-07,1201,味全,24.8,1000.0,25.25,0.0,35.0,74.0,-559.0
2020-01-07,1609,大亞,11.25,1000.0,11.1,0.0,16.0,34.0,100.0
2020-01-07,1722,台肥,49.05,1000.0,49.95,0.0,70.0,147.0,-1117.0
2020-01-09,1301,台塑,100.0,1000.0,101.5,0.0,142.0,300.0,-1942.0
2020-01-10,2104,國際中橡,31.4,1000.0,31.95,0.0,45.0,94.0,-689.0
2020-01-31,2368,金像電,16.25,1000.0,16.65,0.0,23.0,49.0,-472.0
2020-01-31,2889,國票金,11.6,1000.0,11.3,0.0,17.0,35.0,248.0
2020-01-31,8046,南電,45.4,1000.0,49.9,0.0,65.0,136.0,-4701.0
2020-01-31,9946,三發地產,25.6,1000.0,28.05,0.0,36.0,77.0,-2563.0
2020-02-03,2884,玉山金,27.5,1000.0,28.55,0.0,39.0,82.0,-1171.0
2020-02-03,2886,兆豐金,31.15,1000.0,31.8,0.0,44.0,93.0,-787.0
2020-02-06,1409,新纖,12.1,1000.0,12.65,0.0,17.0,36.0,-603.0
2020-02-18,2328,廣宇,20.4,1000.0,20.7,0.0,29.0,61.0,-390.0
2020-02-24,2376,技嘉,54.3,1000.0,56.4,0.0,77.0,163.0,-2340.0
2020-02-25,6191,精成科,14.5,1000.0,15.2,0.0,21.0,44.0,-765.0
2020-02-25,2356,英業達,22.85,1000.0,23.05,0.0,33.0,69.0,-302.0
2020-02-27,3189,景碩,53.0,1000.0,49.95,0.0,76.0,159.0,2815.0
2020-02-27,9919,康那香,19.95,1000.0,20.575,1000.0,28.0,60.0,-713.0
2020-03-02,2201,裕隆,20.1,1000.0,18.8,0.0,29.0,60.0,1211.0
2020-03-02,3338,泰碩,79.7,1000.0,87.1,0.0,114.0,239.0,-7753.0
2020-03-03,1907,永豐餘,13.8,1000.0,13.8,0.0,20.0,41.0,-61.0
2020-03-10,9919,康那香,19.75,1000.0,20.575,0.0,28.0,59.0,-912.0
2020-03-10,2369,菱生,10.35,1000.0,10.7,1000.0,15.0,31.0,-396.0
2020-03-10,8112,至上,30.85,1000.0,32.0,0.0,44.0,93.0,-1287.0
2020-03-11,1789,神隆,33.1,1000.0,36.0,0.0,47.0,99.0,-3046.0
2020-03-12,2369,菱生,10.45,1000.0,10.7,0.0,15.0,31.0,-296.0
2020-03-13,3017,奇鋐,29.3,1000.0,33.95,0.0,42.0,88.0,-4780.0
2020-03-19,2368,金像電,19.2,1000.0,17.95,0.0,27.0,58.0,1165.0
